# Pyro MK1B Flight Data
# ID: SIM001
# Name: SimRkt
# Pyro1: delay 0
# Pyro2: fallen 200
# Units: ft
# Ground Pa: 100585
time_ms,pressure_pa,altitude_cm,state,thrust,event
0,100221,3056,5,0,LAUNCH
20,100220,3065,5,1,
40,100219,3073,5,0,
60,100218,3081,5,0,
80,100216,3098,5,1,
100,100214,3115,5,0,
120,100211,3140,5,1,
140,100208,3165,5,0,
160,100204,3199,5,1,
180,100200,3233,5,0,
200,100196,3266,5,0,
220,100191,3308,5,1,
240,100186,3350,5,0,
260,100180,3401,5,1,
280,100174,3451,5,0,
300,100168,3502,5,1,
320,100161,3561,5,1,
340,100154,3620,5,0,
360,100147,3679,5,0,
380,100140,3738,5,0,
400,100132,3805,5,1,
420,100124,3872,5,0,
440,100116,3939,5,0,
460,100107,4015,5,1,
480,100098,4091,5,0,
500,100089,4167,5,0,
520,100080,4242,5,0,
540,100071,4318,5,1,
560,100062,4394,5,0,
580,100052,4478,5,1,
600,100042,4562,5,0,
620,100032,4647,5,1,
640,100022,4731,5,0,
660,100012,4815,5,0,
680,100002,4899,5,0,
700,99991,4992,5,1,
720,99980,5085,5,0,
740,99969,5178,5,0,
760,99958,5270,5,0,
780,99947,5363,5,1,
800,99936,5456,5,0,
820,99925,5548,5,0,
840,99914,5641,5,1,
860,99903,5734,5,0,
880,99892,5827,5,0,
900,99880,5928,5,1,
920,99868,6029,5,0,
940,99856,6130,5,0,
960,99844,6231,5,0,
980,99832,6333,5,1,
1000,99820,6434,5,0,
1020,99808,6535,5,0,
1040,99796,6636,5,0,
1060,99784,6738,5,1,
1080,99772,6839,5,0,
1100,99760,6940,5,0,
1120,99748,7041,5,0,
1140,99736,7143,5,1,
1160,99724,7244,5,0,
1180,99712,7345,5,0,
1200,99700,7447,5,1,
1220,99688,7548,5,0,
1240,99676,7649,5,0,
1260,99664,7751,5,1,
1280,99652,7852,5,0,
1300,99640,7954,5,1,
1320,99628,8055,5,0,
1340,99616,8156,5,0,
1360,99604,8258,5,1,
1380,99592,8359,5,0,
1400,99580,8461,5,1,
1420,99568,8562,5,0,
1440,99556,8664,5,1,
1460,99544,8765,5,0,
1480,99532,8866,5,0,
1500,99520,8968,5,1,
1520,99508,9070,5,0,
1540,99496,9171,5,0,
1560,99484,9273,5,1,
1580,99472,9374,5,0,
1600,99460,9475,5,0,
1620,99448,9577,5,1,
1640,99436,9679,5,0,
1660,99424,9780,5,0,
1680,99412,9882,5,1,
1700,99400,9983,5,0,
1720,99388,10085,5,1,
1740,99376,10187,5,0,
1760,99364,10288,5,0,
1780,99352,10390,5,1,
1800,99340,10491,5,0,
1820,99328,10593,5,1,
1840,99316,10695,5,0,
1860,99304,10796,5,0,
1880,99292,10898,5,1,
1900,99280,11000,5,0,
1920,99268,11102,5,0,
1940,99256,11203,5,0,
1960,99245,11297,5,0,
1980,99234,11390,5,0,
2000,99223,11483,5,0,
2020,99212,11576,5,0,
2040,99201,11669,5,0,
2060,99190,11763,5,1,
2080,99179,11856,5,0,
2100,99168,11949,5,0,
2120,99157,12043,5,1,
2140,99146,12136,5,0,
2160,99135,12229,5,0,
2180,99124,12323,5,1,
2200,99113,12416,5,0,
2220,99102,12509,5,0,
2240,99091,12603,5,1,
2260,99080,12696,5,0,
2280,99069,12789,5,0,
2300,99058,12883,5,1,
2320,99047,12976,5,0,
2340,99036,13070,5,1,
2360,99025,13163,5,0,
2380,99014,13256,5,0,
2400,99003,13350,5,1,
2420,98992,13443,5,0,
2440,98981,13537,5,1,
2460,98970,13630,5,0,
2480,98959,13723,5,0,
2500,98948,13817,5,1,
2520,98938,13902,5,0,
2540,98928,13987,5,0,
2560,98918,14072,5,0,
2580,98908,14157,5,0,
2600,98898,14242,5,0,
2620,98888,14327,5,0,
2640,98878,14412,5,0,
2660,98868,14497,5,0,
2680,98858,14582,5,0,
2700,98848,14667,5,0,
2720,98838,14752,5,0,
2740,98828,14837,5,0,
2760,98818,14922,5,0,
2780,98808,15007,5,0,
2800,98798,15092,5,0,
2820,98788,15178,5,1,
2840,98778,15263,5,0,
2860,98768,15348,5,0,
2880,98758,15433,5,0,
2900,98748,15518,5,0,
2920,98738,15603,5,0,
2940,98728,15688,5,0,
2960,98718,15773,5,0,
2980,98709,15850,5,0,
3000,98700,15926,5,0,
3020,98691,16003,5,1,
3040,98682,16080,5,0,
3060,98673,16156,5,0,
3080,98664,16233,5,1,
3100,98655,16310,5,0,
3120,98646,16386,5,0,
3140,98637,16463,5,1,
3160,98628,16540,5,0,
3180,98619,16616,5,0,
3200,98610,16693,5,1,
3220,98601,16770,5,0,
3240,98592,16846,5,0,
3260,98583,16923,5,1,
3280,98574,17000,5,0,
3300,98565,17077,5,0,
3320,98556,17153,5,0,
3340,98547,17230,5,1,
3360,98538,17307,5,0,
3380,98529,17383,5,0,
3400,98520,17460,5,1,
3420,98512,17528,5,0,
3440,98504,17597,5,1,
3460,98496,17665,5,0,
3480,98488,17733,5,0,
3500,98480,17801,5,0,
3520,98472,17869,5,0,
3540,98464,17938,5,1,
3560,98456,18006,5,0,
3580,98448,18074,5,0,
3600,98440,18142,5,0,
3620,98432,18211,5,1,
3640,98424,18279,5,0,
3660,98416,18347,5,0,
3680,98408,18416,5,1,
3700,98400,18484,5,0,
3720,98392,18552,5,0,
3740,98384,18620,5,0,
3760,98376,18689,5,1,
3780,98368,18757,5,0,
3800,98360,18825,5,0,
3820,98352,18894,5,1,
3840,98344,18962,5,0,
3860,98337,19022,5,0,
3880,98330,19081,5,0,
3900,98323,19141,5,1,
3920,98316,19201,5,0,
3940,98309,19261,5,0,
3960,98302,19321,5,0,
3980,98295,19381,5,0,
4000,98288,19440,5,0,
4020,98281,19500,5,1,
4040,98274,19560,5,0,
4060,98267,19620,5,0,
4080,98260,19680,5,0,
4100,98253,19739,5,0,
4120,98246,19799,5,1,
4140,98239,19859,5,0,
4160,98232,19919,5,0,
